Stock A,Stock B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
CRM,INTU,-3.932304167753256,0.00894688956016923,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2429833957401306,-625.3081517678348,15,0,1
TMO,INTU,-4.123322822229089,0.004752590505892741,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20695690163059474,221.16246832853523,23,0,0
UNP,INTU,-4.032081235019926,0.006459947308159948,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2165149886134995,-2285.908633872912,21,0,0
ZBRA,INTU,-3.4506211102001423,0.03703101656324352,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2265679497594897,446.7297052544809,56,0,1
PTC,ISRG,-3.4360629254981374,0.038499947025285385,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.18098813427664928,-3181.3557429157418,13,0,0
QCOM,ISRG,-3.9752749181353013,0.007786026894969714,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.245515784042228,-1726.2561847166985,17,0,0
RMD,ISRG,-3.367710747712542,0.046065522104908906,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.25449135733014416,2162.785900420061,19,0,1
UNH,ISRG,-3.697929766272164,0.0184379928019335,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19550108089890852,2061.133192757729,59,0,1
ISRG,VFC,-3.380890643765332,0.04451770846324215,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2063818678872947,-2396.857483245005,13,0,0
NLOK,IVZ,-3.581078700898824,0.02585341834020781,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.24322765551523626,384.65958829687185,23,0,0
PSA,IVZ,-3.383796344440174,0.044182344609696216,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2236291329706932,-51611.52739189041,36,0,0
QCOM,IVZ,-3.830942839691208,0.01232127905974346,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.28608027646078593,-1299.8077415308971,31,0,0
UHS,IVZ,-4.4083519116088095,0.0017253847907576984,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2300568498777043,3855.2023596419613,36,0,0
LVS,IPGP,-3.4366049892606747,0.03844438845067414,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2540185168232672,1415.7178076498205,22,0,0
NWSA,IPGP,-3.5111116660440644,0.031422994733329684,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.25930544973353503,5686.236826601885,12,0,0
NUE,IPGP,-3.3752270022582733,0.04517745897115627,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2567794386124657,1703.6410711169476,12,0,0
