Stock A,Stock B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean
AFL,EXPD,-3.879962354364109,0.010569119694366523,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2132978295444767,-1686.1571959246178,64
UPS,AFL,-4.098297967832642,0.0051744307284585025,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.28144299764587055,-30035.434679719805,37
BRO,EXPD,-3.9764461758610046,0.007756376689344935,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.21108326193983168,-1571.3676386278598,50
UPS,BRO,-4.085780579485097,0.005397973403214967,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.27392117673254407,-10253.226725101968,53
IT,YUM,-3.06302329152371,0.09597365944349012,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2643679806902662,-3189.811033481283,27
V,INTU,-3.304816453434046,0.054076994040808915,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.21643322917377075,-950.3948137438912,30
ETN,NSC,-3.0725222297597945,0.09395610594903808,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2587418039104557,-759.7070478642001,28
PNR,EMR,-3.250016179863294,0.061954060694698054,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.25303293968959134,-1092.7876536155873,48
EQR,AVB,-3.0534363617504376,0.09804328392323236,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2287097588000275,-6794.682071412948,45
ESS,CCI,-3.1798620615792603,0.07336058965051791,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2441401363241223,-8016.440310151291,71
AEP,XEL,-4.290054795569824,0.0026533484540336555,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.21637381374816886,-32191.087293624092,53
CMS,WEC,-3.076973621921802,0.09302189454878601,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.20882204747763672,-13653.903479498531,44
ES,ED,-3.936343873538817,0.008831493534381429,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2254111146876477,-4650.132303475812,22
PEAK,PEG,-3.794828617190607,0.013772531109164701,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2499195879617245,-573.3307608966875,20
WFC,COF,-3.6617352841994077,0.02050642422663719,-3.907359708785063,-3.3422103999067225,-3.048668592223992,0.2162889913328901,-3320.691370448681,46
