Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
AKAM,BTC,-3.562052339107554,0.027276924844433652,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20867107951153124,3717.027602367204,12,0,0
AMCR,BTC,-3.52941918504013,0.02987504175838208,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18818368454158352,-5493.049791036052,19,0,0
BIIB,BTC,-3.3393180843501997,0.049551561392031845,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.07738073037899558,528.758419875896,21,0,0
BMY,BTC,-3.534720447808676,0.029439133694920856,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17242414429192293,-5970.058327313751,26,0,0
CPB,BTC,-3.7776674960964427,0.014513677949314711,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1735957278829255,1288.312811246962,17,0,0
CNC,BTC,-4.632850776202822,0.0007346444629062258,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17313459998084685,1110.1701217632688,22,0,0
CTRA,BTC,-3.5707285632184944,0.026619660905868047,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16608803339920053,279.98127160732696,21,0,0
FTV,BTC,-3.563514498723665,0.027165194115205054,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17701730275607186,-1185.5694638051964,27,0,0
BTC,JKHY,-3.5860769677806594,0.025490227733415693,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17344095244441196,247235.84985347535,13,0,0
NFLX,BTC,-3.9361206195790457,0.008837835852833174,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15479034333935104,-2895.4092612982545,25,0,0
PCAR,BTC,-3.5011070794552066,0.03229737435459505,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17561910117707336,-702.2514531358954,29,0,0
PPL,BTC,-3.7652637225184122,0.015071066586456714,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18266573396830021,-8853.430082657816,35,0,0
O,BTC,-3.3606083207335367,0.04691792948444535,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17489989528157168,-670.9494420328846,37,0,0
VRSN,BTC,-3.9752924651738666,0.00778558194235834,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16890238863678347,2851.360780217321,28,0,0
