Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
INTU,HON,-3.754542060307386,0.015567978574018631,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16182316931571097,-1121.1494643557942,33,0,0
MTCH,HON,-3.345852102940232,0.048730646350661364,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19770595155702447,671.0104913280767,41,0,0
FB,HON,-3.7106626537270233,0.01775497024914486,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1665992134295337,364.7665228306533,22,0,0
MOH,HON,-3.8094359109557243,0.013168251495548547,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19721879410218565,40.5402116070389,20,0,0
NFLX,HON,-3.4545114851168064,0.03664655747979657,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1690013580831905,678.7474429309029,38,0,0
PKG,HON,-3.414377830464953,0.0407784465506878,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21077108413887,-476.4469175036263,13,0,0
ROK,HON,-4.292072920900651,0.002634243719431636,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2242637218714532,577.5744560931653,12,0,1
HON,SYK,-3.3887504950749667,0.04361539922447916,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2092376499497202,161.38230062360068,22,0,0
TXN,HON,-3.3841753760954356,0.04413875353371556,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1996608443157418,203.51472965219727,23,0,0
TDG,HON,-3.678581963938526,0.0195198044788924,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20537498429379772,-505.72421267619745,13,0,1
HRL,KMB,-4.215538421026859,0.0034548946006449704,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.25890456005958395,1376.3493182805323,15,1,1
NEM,HRL,-3.456728908118466,0.03642893268058568,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19264302682432985,235.6101586405149,43,0,0
ROP,HRL,-3.494484382028923,0.032887477870213344,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.24308968049129853,-633.9016009907273,13,0,0
HRL,UDR,-3.3584837526442266,0.04717543281728491,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20386693244835263,118.49888449202626,21,0,0
VRSN,HRL,-3.46541318187337,0.035587085805673706,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1741788732682472,2829.933235592899,38,0,0
HST,KEY,-3.422133242986445,0.03995094341757,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1699158119560596,107.10303765509305,19,0,0
KIM,HST,-4.132825378676897,0.004600796901347287,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1822286829219566,37.297998812894754,15,1,1
LVS,HST,-3.5629504112980803,0.02720825219088597,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2137170324005039,-1138.690674418954,19,0,0
MRK,HST,-3.3685126938538494,0.045970086413524444,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18855638035289876,1093.8677635805682,23,0,0
NFLX,HST,-3.4165114863011112,0.040549368853870525,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15735551261282818,-3592.0988449563865,29,0,0
HST,NWSA,-3.6228475088441394,0.022950898897207878,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16106315748855682,-248.4922743504424,21,0,0
HST,NWS,-3.599477014505943,0.024538128219526174,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1714115586850395,-1835.441594638203,23,0,0
NDSN,HST,-3.3591545720576352,0.04709400179849184,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20667130313435153,-721.4069678126978,23,0,0
HST,PBCT,-3.3977677326455074,0.042599012095601,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17127444699775532,9.478791167398743,24,0,0
PFG,HST,-3.709186152792777,0.01783302133994319,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17372837599812938,-281.00469672391034,15,0,0
RTX,HST,-5.0069533254635585,0.00015986335130581522,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18279298657653661,-1313.7758403169298,19,0,0
ROP,HST,-3.4222622038389257,0.039937302987667685,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.24125990797659197,-747.8587065891666,21,0,0
