,stock A,Stock B,Cointegration coefficient,Correlation coefficient
0,LOW,POOL,1.3478916964738666e-05,0.9836070188732375
1,CDNS,SNPS,2.3210888216076637e-05,0.9968036994288638
2,GNRC,KSU,4.461339679199292e-05,0.9660090723660413
3,ZTS,STE,6.510534704691484e-05,0.9917248602934453
4,WEC,ES,0.00014068498115764365,0.9935215473423
5,SPGI,BRO,0.00015745074401068895,0.9910648824152353
6,ABT,STE,0.00016326773802886486,0.9870214161876953
7,TDG,TDY,0.00019488306852499123,0.9761595440196068
8,ETR,SRE,0.0002885110956775309,0.9802938275362196
9,AMGN,HUM,0.0003048074528921834,0.9608887082810618
10,MSCI,AJG,0.00032006377671749717,0.9807636374558845
11,DPZ,HD,0.00032543560831383984,0.9724430761152792
12,LLY,TECH,0.0005029857815807386,0.9756771459156457
13,PWR,GNRC,0.0005037594060465635,0.966725126931899
14,LLY,DHR,0.0006278038070036686,0.9721650685310319
15,ZBH,MDT,0.000633891102687891,0.9248753738216579
16,KMX,TGT,0.0006422233566143884,0.9236394140339468
17,CRM,ADBE,0.000716188095527036,0.9853862793495672
18,KMX,NKE,0.0007928739850007907,0.9242357433221587
19,PFE,ANTM,0.0008564268556245833,0.9437605098361894
20,D,ES,0.0008644057240949886,0.9539702429793104
21,DOV,J,0.0008648379659424911,0.9799053274138384
22,DE,PH,0.0009210625406983543,0.9775135816220468
23,ZTS,RMD,0.0009981298653886966,0.9857680950755058
24,AON,ICE,0.0010296846024891075,0.9782635483946529
25,GRMN,KMX,0.0010319165860252408,0.9307706571660775
26,ALLE,TDG,0.0010664419665474896,0.9678998016613228
27,AMZN,BBY,0.0011044743196124483,0.9745244484931421
28,EIX,PPL,0.0011189866108087625,0.8629684608252022
29,DE,UPS,0.001225622175477787,0.9490138408716963
30,LH,ALGN,0.0012743735058873215,0.9612078417244705
31,UPS,PWR,0.0012940829763073767,0.9326709614283584
32,TFC,NTRS,0.0013127959976272678,0.9606409394270602
33,RMD,STE,0.0014353318983194236,0.975541848934009
34,POOL,KMX,0.0015006070691733775,0.9292532507705031
35,BRO,MCO,0.0015123762227618489,0.9886430198101255
36,RMD,ABT,0.001518473150848589,0.9708646421133096
37,TMO,RMD,0.001654677360627908,0.9848375626536446
38,MSI,CDW,0.0016562056907366888,0.9845437614492518
39,VRSK,TDG,0.0016599470580906171,0.9629547118688409
40,A,PKI,0.001662300789657274,0.9859865313052623
41,ADP,MSI,0.0017261460746988207,0.9809001133986974
42,OKE,CVX,0.0018255373963448215,0.9238304274710334
43,INFO,J,0.0018739370114922746,0.9763411591997885
44,ZBH,COO,0.001904592072119708,0.8765734366627652
45,NTRS,PNC,0.001966227386540982,0.9681451208763294
46,AEP,SRE,0.0019900884690023956,0.9675122493022225
47,NOW,CDNS,0.0019938877338938365,0.9912244586963006
48,INTU,ORCL,0.0021264593017165647,0.9685835231823073
49,D,XEL,0.002166956964654771,0.9568248126875748
50,PNC,RJF,0.002168024799013923,0.9854353234528498
51,RJF,SCHW,0.0021886534814050894,0.9826019321683772
52,FITB,SCHW,0.0021915088220071204,0.9742432300025757
53,INFO,EXPD,0.0022207680781655644,0.9758741882344709
54,AAPL,TER,0.0022520096474808507,0.978837199342552
55,SNPS,AMD,0.0023880659590092687,0.9847218144805419
56,GRMN,PHM,0.002441039608655956,0.9449748751418428
57,AVGO,APH,0.002473434359481122,0.9843652202667307
58,TFC,BAC,0.002481917078427257,0.9716206797773101
59,AMP,MS,0.002581035714252351,0.9805211045266968
60,ISRG,UNH,0.002595731437423635,0.9852531236322613
61,RMD,BIO,0.0026001687756691135,0.9852347103909084
62,LOW,KMX,0.0026328128428400933,0.9447184315263787
63,ZBH,JNJ,0.002644723651636144,0.8609169527951677
64,CARR,XYL,0.002670939480457169,0.9810668628227218
65,APTV,GM,0.0026926939115359165,0.9297660748217633
66,HIG,USB,0.0027633366746500233,0.937972657486543
67,ZBH,ALGN,0.002776171271644558,0.8167077809997669
68,ANTM,COO,0.0028751862992808168,0.9648569667683912
69,MTD,A,0.002898721019216753,0.9884731894727168
70,PHM,DG,0.0029330437617466573,0.9270037294458691
71,ANTM,ISRG,0.002979856658677523,0.9694261147714278
72,CHRW,ROL,0.0032080569930734017,0.9079577511232745
73,ED,NI,0.003281023748227263,0.9759120785349389
74,PYPL,QRVO,0.0033379646299651826,0.9640007882879195
75,IDXX,A,0.003360172494449756,0.987290617015739
76,UPS,GNRC,0.0034044936958761846,0.9364672236813698
77,LEN,EBAY,0.003515968307832816,0.9371371154736974
78,INTC,JKHY,0.0035476525469495825,0.9320718805686472
79,UNP,NSC,0.0035847482996006603,0.9912093996820385
80,ILMN,ANTM,0.0036073368425092347,0.9328447660887611
81,MGM,GM,0.0036606193752001907,0.8799315462240727
82,ZBH,MTD,0.0036749463328567392,0.8607151191923184
83,ZBH,RMD,0.0037805863708804794,0.8361522914820906
84,UPS,URI,0.0038158265048535774,0.9260601325562378
85,FFIV,NTAP,0.0038605773518417493,0.9068576375251127
86,ACN,INTU,0.003946458879033455,0.9889910431043382
87,CRM,ADSK,0.004018976670490996,0.9723264234640946
88,ALLE,WM,0.004099588538212634,0.9757984198143247
89,LLY,WST,0.00411207557856161,0.9664357225175464
90,CDW,PAYX,0.004115660720297829,0.9801279691283369
91,PAYC,ADBE,0.004273629668575455,0.9761399815520503
92,PHM,AMZN,0.0044507643219626625,0.9282182600477661
93,CDAY,SNPS,0.004504670971061694,0.9714014430803328
94,AJG,MCO,0.004521489185585478,0.9827592015056275
95,ADI,CDW,0.004525047157778248,0.9820028162905555
96,NOW,AMD,0.004561814878717884,0.984497608860777
97,INFO,DOV,0.004663930432362875,0.9791250889811824
98,BIO,IDXX,0.004775143890013731,0.9866430663009425
99,BBY,DPZ,0.004823434168951133,0.9569143134139562
100,AMGN,TFX,0.004850687423095979,0.9487245656012208
101,HD,BBY,0.0049627475092186525,0.9725751243041384
102,LOW,NKE,0.00501365976951295,0.9768722087716213
103,SYK,COO,0.005028818312612396,0.9800710581360982
104,LH,MTD,0.005079394210890701,0.9599625864739921
105,MET,GS,0.0051713330044026815,0.9356254057417861
106,DFS,MET,0.005218447982134972,0.938226321332367
107,ADBE,ADSK,0.005276811599210371,0.9849426876967639
108,APTV,LEN,0.005284148245841044,0.9336469096987686
109,SRE,WEC,0.005287158648907174,0.9446844621959686
110,ADSK,TXN,0.005409352196503573,0.9776497262244834
111,ADI,AVGO,0.005478646733703765,0.9862407308081881
112,TGT,TSCO,0.005500045112476941,0.9603711103457537
113,ADSK,NOW,0.005524358182150261,0.9790338244108615
114,CZR,POOL,0.00552942621719753,0.9244939759744402
115,TFC,PNC,0.0055580049593078,0.9749995464474783
116,EW,STE,0.0055646542039659306,0.9816217539724008
117,ZBH,SYK,0.0056161032905031475,0.8780602133732244
118,CB,CINF,0.0058086064641916235,0.9360426602638009
119,SWKS,NLOK,0.005826461579779188,0.893703753929279
120,NWSA,NWS,0.00588305430354857,0.9963677870518393
121,CDNS,TER,0.00596278180488111,0.9785456097010807
122,FISV,INTC,0.006193602404629304,0.9431114983767036
